name,date,time,location,city,lat,lon,url
Easter Egg Hound Hunt,2026-03-28,9:00,Oak Point Nature Preserve,Plano,33.0441,-96.6669,
Easter Egg Hunt (Sent Church),2026-03-28,10:00,Sent Church,Plano,33.0236,-96.7214,
Adapted Recreation Egg Hunt,2026-03-28,11:00,Oak Point Park,Plano,33.0441,-96.6669,
Meet the Easter Bunny,2026-04-02,18:30,Play Street Museum,Plano,33.0336,-96.7972,
Palm Sunday Funday,2026-03-29,9:45,CUMC,Plano,33.0645,-96.7645,
Aqua Egg Hunt,2026-03-21,9:00,Frisco Athletic Center,Frisco,33.1256,-96.7972,
Easter Bunny Photos,2026-03-14,11:00,Hollywood Feed,Frisco,33.1539,-96.829,
Easter Egg Hunt,2026-04-04,13:00,Kaleidoscope Park,Frisco,33.1025,-96.8222,
Easter Eggstravaganza,2026-04-04,10:00,PGA Frisco,Frisco,33.2421,-96.8665,
Easter Movie Night,2026-04-03,19:00,PGA Frisco,Frisco,33.2421,-96.8665,
Easter Egg Hunt,2026-04-04,9:30,Stonebriar Community Church,Frisco,33.1182,-96.8041,
Frisco Commons Egg Hunt,2026-04-04,12:00,Frisco Commons Park,Frisco,33.161,-96.8402,
Egg Hunt: Glow & Find 'Em,2026-04-04,12:00,Mission Church,Frisco,33.1507,-96.8236,
Bunny Photos,2026-03-14,10:00,Watters Creek,Allen,33.1042,-96.6711,
Easter Open Skate,2026-04-04,12:00,Allen Community Ice Rink,Allen,33.1251,-96.6508,
Breakfast with the Bunny,2026-03-31,9:00,Joe Farmer Rec Center,Allen,33.0886,-96.645,
Easter Egg Hunt (Lutheran),2026-03-28,14:00,Christ the Servant,Allen,33.1017,-96.6853,
Flashlight Egg Hunt,2026-04-02,18:00,Joe Farmer Rec Center,Allen,33.0886,-96.645,
Easter Egg Hunt (Grace),2026-03-28,9:00,Grace Church,Allen,33.1168,-96.6836,
Bunny Visit & Playtime,2026-03-29,11:30,Play Street Museum Allen,Allen,33.1311,-96.6669,
Spring Fling,2026-03-28,13:00,Fairview Town Center,Fairview,33.1328,-96.665,
Friendship Easter Egg Hunt,2026-04-04,11:00,Friendship Baptist,Fairview,33.145,-96.645,
Spring Eggstravaganza,2026-04-02,17:00,The Athletic Club,The Colony,33.0841,-96.8833,
Eggtastic Easter,2026-03-28,11:00,Little Elm Park,Little Elm,33.1619,-96.9405,
Easter Toddler Time,2026-04-02,9:00,The Cove,Little Elm,33.1619,-96.9405,
Pictures with Easter Bunny,2026-03-07,11:00,Hollywood Feed,McKinney,33.1972,-96.6397,
Apex Centre Egg Splash,2026-03-29,12:00,Apex Centre,McKinney,33.2201,-96.671,
Community Block Party,2026-04-04,14:00,Church of Ascension,McKinney,33.2081,-96.6582,
Hop 'n Hunt,2026-04-02,18:00,Murphy Central Park,Murphy,33.015,-96.611,
